Species	Accession	FTP
Escherichia coli strain 2014C-3084 	NZ_CP027319.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/675/GCA_003017675.2_ASM301767v2
Escherichia coli strain CFSAN061769 	NZ_CP042969.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/399/775/GCA_003399775.2_ASM339977v2
Escherichia coli strain CFSAN061761 	NZ_CP042903.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/399/845/GCA_003399845.2_ASM339984v2
Escherichia coli strain Stbl4 	CP081009.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/646/015/GCA_019646015.1_ASM1964601v1
Escherichia coli strain 25POL 	CP081010.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/975/GCA_019645975.1_ASM1964597v1
Escherichia coli strain XL1-Blue 	CP081007.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/995/GCA_019645995.1_ASM1964599v1
Escherichia coli strain XL10-gold-ultracompetent 	CP081008.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/795/GCA_019645795.1_ASM1964579v1
Escherichia coli strain ST866 	CP077646.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/614/825/GCA_019614825.1_ASM1961482v1
Escherichia coli strain TOP10 	CP080620.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/599/065/GCA_019599065.1_ASM1959906v1
Escherichia coli strain CY706 	NZ_CP068281.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/835/GCA_019551835.1_ASM1955183v1
Escherichia coli strain CY598 	NZ_CP068283.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/855/GCA_019551855.1_ASM1955185v1
Escherichia coli strain CY708 	NZ_CP068279.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/815/GCA_019551815.1_ASM1955181v1
Escherichia coli strain CY598 	CP068283.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/855/GCA_019551855.1_ASM1955185v1
Escherichia coli strain CY706 	CP068281.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/835/GCA_019551835.1_ASM1955183v1
Escherichia coli strain CY708 	CP068279.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/815/GCA_019551815.1_ASM1955181v1
Escherichia coli strain E2348/69 	NZ_CP059840.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/117/345/GCA_014117345.2_ASM1411734v2
Escherichia coli strain UPEC-774U/190308 	NZ_CP049852.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/685/GCA_019443685.1_ASM1944368v1
Escherichia coli strain PK5086 	NZ_CP080370.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/365/GCA_019443365.1_ASM1944336v1
Escherichia coli strain L3452210II 	NZ_CP076527.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/434/375/GCA_019434375.1_ASM1943437v1
Escherichia coli strain UPEC-455U/190220 	NZ_CP049839.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/605/GCA_019443605.1_ASM1944360v1
Escherichia coli strain UPEC-774U/190308 	CP049852.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/685/GCA_019443685.1_ASM1944368v1
Escherichia coli strain UPEC-245U/190328 	CP049845.1	None
Escherichia coli strain UPEC-455U/190220 	CP049839.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/605/GCA_019443605.1_ASM1944360v1
Escherichia coli strain PK5086 	CP080370.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/365/GCA_019443365.1_ASM1944336v1
Escherichia coli strain L3452210II 	CP076527.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/434/375/GCA_019434375.1_ASM1943437v1
Escherichia coli strain PK8217 	NZ_CP080121.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/625/GCA_019428625.1_ASM1942862v1
Escherichia coli strain PK8276 	NZ_CP080146.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/725/GCA_019428725.1_ASM1942872v1
Escherichia coli strain SJC33 	NZ_CP080255.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/165/GCA_019431165.1_ASM1943116v1
Escherichia coli strain PK8261 	NZ_CP080155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/745/GCA_019428745.1_ASM1942874v1
Escherichia coli strain OV24 	NZ_CP080117.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/545/GCA_019428545.1_ASM1942854v1
Escherichia coli strain PK8568 	NZ_CP080126.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/645/GCA_019428645.1_ASM1942864v1
Escherichia coli strain Dog168 	NZ_CP080116.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/525/GCA_019428525.1_ASM1942852v1
Escherichia coli O139:H1 strain P15-25 	NZ_CP080233.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/315/GCA_019431315.1_ASM1943131v1
Escherichia coli strain M45 	NZ_CP080119.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/585/GCA_019428585.1_ASM1942858v1
Escherichia coli strain PK8566 	NZ_CP080172.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/785/GCA_019428785.1_ASM1942878v1
Escherichia coli strain PK8275 	NZ_CP080163.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/765/GCA_019428765.1_ASM1942876v1
Escherichia coli strain M70 	NZ_CP080118.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/565/GCA_019428565.1_ASM1942856v1
Escherichia coli strain PK8277 	NZ_CP080133.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/665/GCA_019428665.1_ASM1942866v1
Escherichia coli strain 135 	NZ_CP080260.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/185/GCA_019431185.1_ASM1943118v1
Escherichia coli O139:H1 strain W13-16 	NZ_CP080235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/335/GCA_019431335.1_ASM1943133v1
Escherichia coli O141:H4 strain P13-6 	NZ_CP080223.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/295/GCA_019431295.1_ASM1943129v1
Escherichia coli strain M24 	NZ_CP080120.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/605/GCA_019428605.1_ASM1942860v1
Escherichia coli strain PC6 	NZ_CP080253.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/145/GCA_019431145.1_ASM1943114v1
Escherichia coli strain PK8241 	NZ_CP080139.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/705/GCA_019428705.1_ASM1942870v1
Escherichia coli O141:H4 strain P13-6 	CP080223.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/295/GCA_019431295.1_ASM1943129v1
Escherichia coli strain 135 	CP080260.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/185/GCA_019431185.1_ASM1943118v1
Escherichia coli O139:H1 strain P15-25 	CP080233.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/315/GCA_019431315.1_ASM1943131v1
Escherichia coli O139:H1 strain W13-16 	CP080235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/335/GCA_019431335.1_ASM1943133v1
Escherichia coli strain SJC33 	CP080255.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/165/GCA_019431165.1_ASM1943116v1
Escherichia coli strain PC6 	CP080253.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/145/GCA_019431145.1_ASM1943114v1
Escherichia coli strain Ec-FL1-1X 	NZ_CP066836.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/426/265/GCA_019426265.1_ASM1942626v1
Escherichia coli strain PK8275 	CP080163.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/765/GCA_019428765.1_ASM1942876v1
Escherichia coli strain PK8261 	CP080155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/745/GCA_019428745.1_ASM1942874v1
Escherichia coli strain PK8241 	CP080139.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/705/GCA_019428705.1_ASM1942870v1
Escherichia coli strain PK8276 	CP080146.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/725/GCA_019428725.1_ASM1942872v1
Escherichia coli strain PK8566 	CP080172.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/785/GCA_019428785.1_ASM1942878v1
Escherichia coli strain PK8568 	CP080126.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/645/GCA_019428645.1_ASM1942864v1
Escherichia coli strain PK8277 	CP080133.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/665/GCA_019428665.1_ASM1942866v1
Escherichia coli strain M24 	CP080120.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/605/GCA_019428605.1_ASM1942860v1
Escherichia coli strain PK8217 	CP080121.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/625/GCA_019428625.1_ASM1942862v1
Escherichia coli strain M45 	CP080119.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/585/GCA_019428585.1_ASM1942858v1
Escherichia coli strain M70 	CP080118.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/565/GCA_019428565.1_ASM1942856v1
Escherichia coli strain OV24 	CP080117.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/545/GCA_019428545.1_ASM1942854v1
Escherichia coli strain Dog168 	CP080116.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/525/GCA_019428525.1_ASM1942852v1
Escherichia coli strain XJW9B263 	NZ_CP067399.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/988/345/GCA_018988345.1_ASM1898834v1
Escherichia coli strain XJW9B277 	NZ_CP068041.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/988/385/GCA_018988385.1_ASM1898838v1
Escherichia coli strain Ec-FL1-1X 	CP066836.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/426/265/GCA_019426265.1_ASM1942626v1
Escherichia coli strain ECJXMCRH7 	NZ_CP067342.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/357/435/GCA_019357435.1_ASM1935743v1
Escherichia coli strain XH988 	CP019355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/806/005/GCA_016806005.1_ASM1680600v1
Escherichia coli strain Ec42 	NZ_CP059119.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/455/GCA_019355455.1_ASM1935545v1
Escherichia coli strain EC45 	NZ_CP059125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/475/GCA_019355475.1_ASM1935547v1
Escherichia coli strain Ec55 	NZ_CP059130.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/495/GCA_019355495.1_ASM1935549v1
Escherichia coli strain DL21 	NZ_CP079747.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/385/GCA_019334385.1_ASM1933438v1
Escherichia coli strain GB2005-delet-a-f 	NZ_CP079736.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/665/GCA_019334665.1_ASM1933466v1
Escherichia coli strain GB2005 	NZ_CP079735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/645/GCA_019334645.1_ASM1933464v1
Escherichia coli strain ECJXMCRH7 	CP067342.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/357/435/GCA_019357435.1_ASM1935743v1
Escherichia coli strain Ec55 	CP059130.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/495/GCA_019355495.1_ASM1935549v1
Escherichia coli strain EC45 	CP059125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/475/GCA_019355475.1_ASM1935547v1
Escherichia coli strain Ec42 	CP059119.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/455/GCA_019355455.1_ASM1935545v1
Escherichia coli strain GB2005 	CP079735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/645/GCA_019334645.1_ASM1933464v1
Escherichia coli strain GB2005-delet-a-f 	CP079736.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/665/GCA_019334665.1_ASM1933466v1
Escherichia coli strain DL21 	CP079747.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/385/GCA_019334385.1_ASM1933438v1
Escherichia coli strain 702/18 	NZ_CP074701.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/086/825/GCA_019086825.1_ASM1908682v1
Escherichia coli BW25113 strain AM187 	CP037857.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/355/105/GCF_004355105.2_ASM435510v2
Escherichia coli strain EC2 	NZ_CP058571.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/402/855/GCA_013402855.1_ASM1340285v1
Escherichia coli strain EC1 	NZ_CP058574.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/402/895/GCA_013402895.1_ASM1340289v1
Escherichia coli strain Sx181-0-1 	NZ_CP078137.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/211/745/GCA_019211745.1_ASM1921174v1
Escherichia coli strain JM83 	NZ_CP077969.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/192/625/GCA_019192625.1_ASM1919262v1
Escherichia coli strain Sx181-0-1 	CP078137.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/211/745/GCA_019211745.1_ASM1921174v1
Escherichia coli strain EC1 	CP058574.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/402/895/GCA_013402895.1_ASM1340289v1
Escherichia coli strain EC2 	CP058571.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/402/855/GCA_013402855.1_ASM1340285v1
Escherichia coli strain JM83 	CP077969.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/192/625/GCA_019192625.1_ASM1919262v1
Escherichia coli strain ST865 	NZ_CP077649.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/091/005/GCA_019091005.1_ASM1909100v1
Escherichia coli strain UPEC129 	NZ_CP071522.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/356/665/GCA_017356665.1_ASM1735666v1
Escherichia coli strain ST865 	CP077649.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/091/005/GCA_019091005.1_ASM1909100v1
Escherichia coli strain 702/18 	CP074701.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/086/825/GCA_019086825.1_ASM1908682v1
Escherichia coli strain S19-651 	NZ_CP075852.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/404/165/GCA_016404165.2_ASM1640416v2
Escherichia coli strain S19-651 	CP075852.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/404/165/GCA_016404165.2_ASM1640416v2
Escherichia coli strain FDAARGOS 1383 	CP077396.1	None
Escherichia coli strain FDAARGOS 1375 	CP077389.1	None
Escherichia coli strain FDAARGOS 1387 	CP077379.1	None
Escherichia coli strain FDAARGOS 1380 	CP077353.1	None
Escherichia coli strain FDAARGOS 1377 	CP077325.1	None
Escherichia coli strain FDAARGOS 1389 	CP077342.1	None
Escherichia coli strain FDAARGOS 1382 	CP077361.1	None
Escherichia coli strain FDAARGOS 1386 	CP077294.1	None
Escherichia coli strain FDAARGOS_1385 	CP077273.1	None
Escherichia coli strain FDAARGOS_1378 	CP077266.1	None
Escherichia coli strain FDAARGOS_1388 	CP077281.1	None
Escherichia coli strain FDAARGOS_1381 	CP077250.1	None
Escherichia coli strain FDAARGOS 1374 	CP077314.1	None
Escherichia coli strain FDAARGOS_1376 	CP077243.1	None
Escherichia coli strain FDAARGOS_1379 	CP077215.1	None
Escherichia coli strain FDAARGOS_1384 	CP077225.1	None
Escherichia coli strain Q4552 	CP077063.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/039/795/GCA_019039795.1_ASM1903979v1
Escherichia coli strain UPEC129 	CP071522.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/356/665/GCA_017356665.1_ASM1735666v1
Escherichia coli O8:H28 strain BMH-17-0027 	NZ_CP076704.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/835/GCA_018986835.1_ASM1898683v1
Escherichia coli strain S22EC 	NZ_CP076687.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/205/GCA_018972205.1_ASM1897220v1
Escherichia coli strain NC19 	NZ_CP076654.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/968/645/GCA_018968645.1_ASM1896864v1
Escherichia coli strain S21EC 	NZ_CP076689.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/225/GCA_018972225.1_ASM1897222v1
Escherichia coli strain GD33 	NZ_CP076646.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/966/845/GCA_018966845.1_ASM1896684v1
Escherichia coli strain XH1815 	NZ_CP069386.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/045/GCA_018972045.1_ASM1897204v1
Escherichia coli strain S103EC 	NZ_CP076693.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/265/GCA_018972265.1_ASM1897226v1
Escherichia coli strain S10EC 	NZ_CP076697.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/245/GCA_018972245.1_ASM1897224v1
Escherichia coli strain MSI001 	NZ_CP076645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/966/785/GCA_018966785.1_ASM1896678v1
Escherichia coli strain XJW9B277 	CP068041.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/988/385/GCA_018988385.1_ASM1898838v1
Escherichia coli strain XJW9B263 	CP067399.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/988/345/GCA_018988345.1_ASM1898834v1
Escherichia coli O8:H28 strain BMH-17-0027 	CP076704.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/835/GCA_018986835.1_ASM1898683v1
Escherichia coli O170:H18 strain OLC-1056 	CP076706.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/815/GCA_018986815.1_ASM1898681v1
Escherichia coli O158:H23 strain OLC-1685 	CP076709.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/795/GCA_018986795.1_ASM1898679v1
Escherichia coli strain XH1815 	CP069386.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/045/GCA_018972045.1_ASM1897204v1
Escherichia coli strain S103EC 	CP076693.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/265/GCA_018972265.1_ASM1897226v1
Escherichia coli strain S10EC 	CP076697.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/245/GCA_018972245.1_ASM1897224v1
Escherichia coli strain S22EC 	CP076687.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/205/GCA_018972205.1_ASM1897220v1
Escherichia coli strain S21EC 	CP076689.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/972/225/GCA_018972225.1_ASM1897222v1
Escherichia coli strain NC19 	CP076654.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/968/645/GCA_018968645.1_ASM1896864v1
Escherichia coli strain GD33 	CP076646.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/966/845/GCA_018966845.1_ASM1896684v1
Escherichia coli strain MSI001 	CP076645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/966/785/GCA_018966785.1_ASM1896678v1
Escherichia coli strain WS3294A 	NZ_CP035819.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/305/GCA_018884305.1_ASM1888430v1
Escherichia coli strain WS4437A-1 	NZ_CP035822.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/325/GCA_018884325.1_ASM1888432v1
Escherichia coli strain B2C 	NZ_CP035874.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/525/GCA_018884525.1_ASM1888452v1
Escherichia coli strain TW10590 	NZ_CP035850.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/425/GCA_018884425.1_ASM1888442v1
Escherichia coli strain LSN03-016011/A 	NZ_CP035884.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/585/GCA_018884585.1_ASM1888458v1
Escherichia coli strain TD225-C4 	NZ_CP035860.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/465/GCA_018884465.1_ASM1888446v1
Escherichia coli strain DS26-1 	NZ_CP035879.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/545/GCA_018884545.1_ASM1888454v1
Escherichia coli strain WS1933D 	NZ_CP035836.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/365/GCA_018884365.1_ASM1888436v1
Escherichia coli strain 025542-1 	NZ_CP035832.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/345/GCA_018884345.1_ASM1888434v1
Escherichia coli strain WS0115A 	NZ_CP035882.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/565/GCA_018884565.1_ASM1888456v1
Escherichia coli strain E2528-C1 	NZ_CP035870.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/505/GCA_018884505.1_ASM1888450v1
Escherichia coli strain TW10598 	NZ_CP035846.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/405/GCA_018884405.1_ASM1888440v1
Escherichia coli TW11681 	NZ_CP035855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/445/GCA_018884445.1_ASM1888444v1
Escherichia coli strain E275 a 	NZ_CP035865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/485/GCA_018884485.1_ASM1888448v1
Escherichia coli strain KCJ3K291 	NZ_CP054407.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/954/215/GCA_007954215.2_ASM795421v2
Escherichia coli strain TW10722 	NZ_CP035841.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/385/GCA_018884385.1_ASM1888438v1
Escherichia coli strain B7A 	NZ_CP035812.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/265/GCA_018884265.1_ASM1888426v1
Escherichia coli strain E7476 	NZ_CP035817.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/285/GCA_018884285.1_ASM1888428v1
Escherichia coli strain E2 	NZ_CP048915.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/065/GCA_018884065.1_ASM1888406v1
Escherichia coli strain KCJ3K291 	CP054407.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/954/215/GCA_007954215.2_ASM795421v2
Escherichia coli strain E2 	CP048915.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/065/GCA_018884065.1_ASM1888406v1
Escherichia coli strain LSN03-016011/A 	CP035884.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/585/GCA_018884585.1_ASM1888458v1
Escherichia coli strain WS0115A 	CP035882.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/565/GCA_018884565.1_ASM1888456v1
Escherichia coli strain DS26-1 	CP035879.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/545/GCA_018884545.1_ASM1888454v1
Escherichia coli strain B2C 	CP035874.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/525/GCA_018884525.1_ASM1888452v1
Escherichia coli strain E2528-C1 	CP035870.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/505/GCA_018884505.1_ASM1888450v1
Escherichia coli strain E275 a 	CP035865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/485/GCA_018884485.1_ASM1888448v1
Escherichia coli strain TD225-C4 	CP035860.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/465/GCA_018884465.1_ASM1888446v1
Escherichia coli TW11681 	CP035855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/445/GCA_018884445.1_ASM1888444v1
Escherichia coli strain TW10590 	CP035850.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/425/GCA_018884425.1_ASM1888442v1
Escherichia coli strain TW10598 	CP035846.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/405/GCA_018884405.1_ASM1888440v1
Escherichia coli strain TW10722 	CP035841.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/385/GCA_018884385.1_ASM1888438v1
Escherichia coli strain WS1933D 	CP035836.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/365/GCA_018884365.1_ASM1888436v1
Escherichia coli strain 025542-1 	CP035832.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/345/GCA_018884345.1_ASM1888434v1
Escherichia coli strain 67-1 	CP035826.1	None
Escherichia coli strain WS4437A-1 	CP035822.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/325/GCA_018884325.1_ASM1888432v1
Escherichia coli strain WS3294A 	CP035819.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/305/GCA_018884305.1_ASM1888430v1
Escherichia coli strain E7476 	CP035817.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/285/GCA_018884285.1_ASM1888428v1
Escherichia coli strain B7A 	CP035812.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/265/GCA_018884265.1_ASM1888426v1
Escherichia coli strain TA8571 	NZ_AP024205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/629/485/GCA_016629485.1_ASM1662948v1
Escherichia coli strain STEC2018-607 	NZ_CP075697.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/403/625/GCA_016403625.2_ASM1640362v2
Escherichia coli strain S19-141 	NZ_CP075640.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/404/325/GCA_016404325.2_ASM1640432v2
